alpha;power;hr;surv_3y;e;n
0,20;0,99;0,90;0,3;3,61631366281401e+03;9,14684862446103e+03
0,49;0,99;0,90;0,3;1,99233994937526e+03;5,03928409551213e+03
0,01;0,51;0,99;0,3;2,18956614053887e+05;5,34456943640728e+05
0,05;0,51;0,99;0,3;1,10431123977068e+05;2,69554227711379e+05
0,10;0,51;0,99;0,3;6,76079487602681e+04;1,65026015845035e+05
0,20;0,51;0,99;0,3;2,97458617398150e+04;7,26074543128834e+04
0,49;0,51;0,99;0,3;9,95473434766498e+01;2,42987722348457e+02
0,01;0,80;0,99;0,3;3,97430064690945e+05;9,70097471608617e+05
0,05;0,80;0,99;0,3;2,44831327229985e+05;5,97615209863618e+05
0,10;0,80;0,99;0,3;1,78512866915858e+05;4,35736740196909e+05
0,20;0,80;0,99;0,3;1,12199830477143e+05;2,73871509809993e+05
0,49;0,80;0,99;0,3;2,97458617398151e+04;7,26074543128834e+04
0,01;0,90;0,99;0,3;5,15475098257514e+05;1,25823669099036e+06
0,05;0,90;0,99;0,3;3,39131209687818e+05;8,27794266942431e+05
0,10;0,90;0,99;0,3;2,60154297181224e+05;6,35017449220602e+05
0,20;0,90;0,99;0,3;1,78512866915858e+05;4,35736740196909e+05
0,49;0,90;0,99;0,3;6,76079487602681e+04;1,65026015845035e+05
0,01;0,99;0,99;0,3;8,57251293701804e+05;2,09248717305780e+06
0,05;0,99;0,99;0,3;6,24514734701987e+05;1,52439440027731e+06
0,10;0,99;0,99;0,3;5,15475098257514e+05;1,25823669099036e+06
0,20;0,99;0,99;0,3;3,97430064690945e+05;9,70097471608617e+05
0,49;0,99;0,99;0,3;2,18956614053887e+05;5,34456943640728e+05
0,01;0,51;0,10;0,6;4,17145766958624e+00;9,63178309513883e+00
0,05;0,51;0,10;0,6;2,10388145188342e+00;4,85780545015977e+00
0,10;0,51;0,10;0,6;1,28803460721952e+00;2,97403712045849e+00
0,20;0,51;0,10;0,6;5,66704064315069e-01;1,30850437879614e+00
0,49;0,51;0,10;0,6;NA;NA
0,01;0,80;0,10;0,6;7,57164929062700e+00;1,74827337147627e+01
0,05;0,80;0,10;0,6;4,66441044561070e+00;1,07699977411681e+01
0,10;0,80;0,10;0,6;3,40094256130905e+00;7,85268452042180e+00
0,20;0,80;0,10;0,6;2,13757801011195e+00;4,93560989302305e+00
0,49;0,80;0,10;0,6;5,66704064315069e-01;1,30850437879614e+00
0,01;0,90;0,10;0,6;9,82058734054880e+00;2,26754709320626e+01
0,05;0,90;0,10;0,6;6,46096712703161e+00;1,49181985966463e+01
0,10;0,90;0,10;0,6;4,95633640911782e+00;1,14440469064851e+01
0,20;0,90;0,10;0,6;3,40094256130905e+00;7,85268452042180e+00
0,49;0,90;0,10;0,6;1,28803460721952e+00;2,97403712045849e+00
0,01;0,99;0,10;0,6;1,63319454830218e+01;3,77100210223879e+01
0,05;0,99;0,10;0,6;1,18979588312463e+01;2,74720655978327e+01
0,10;0,99;0,10;0,6;9,82058734054880e+00;2,26754709320626e+01
0,20;0,99;0,10;0,6;7,57164929062700e+00;1,74827337147627e+01
0,49;0,99;0,10;0,6;4,17145766958624e+00;9,63178309513883e+00
0,01;0,51;0,50;0,6;4,60328958204544e+01;7,48082344159151e+01
0,05;0,51;0,50;0,6;2,32167657841154e+01;3,77296545481670e+01
0,10;0,51;0,50;0,6;1,42137275704771e+01;2,30987828392003e+01
0,20;0,51;0,50;0,6;6,25369624240516e+00;1,01629055945661e+01
0,49;0,51;0,50;0,6;NA;NA
0,01;0,80;0,50;0,6;8,35547117080111e+01;1,35785080399606e+02
0,05;0,80;0,50;0,6;5,14727313840714e+01;8,36485319199940e+01
0,10;0,80;0,50;0,6;3,75301026683120e+01;6,09903128626751e+01
0,20;0,80;0,50;0,6;2,35886142546755e+01;3,83339469146815e+01
0,49;0,80;0,50;0,6;6,25369624240516e+00;1,01629055945661e+01
0,01;0,90;0,50;0,6;1,08372206971957e+02;1,76116086525364e+02
0,05;0,90;0,50;0,6;7,12981049349896e+01;1,15866822026374e+02
0,10;0,90;0,50;0,6;5,46941946062409e+01;8,88837440784093e+01
0,20;0,90;0,50;0,6;3,75301026683120e+01;6,09903128626751e+01
0,49;0,90;0,50;0,6;1,42137275704771e+01;2,30987828392003e+01
0,01;0,99;0,50;0,6;1,80226387156376e+02;2,92886588558628e+02
0,05;0,99;0,50;0,6;1,31296429866239e+02;2,13370328508467e+02
0,10;0,99;0,50;0,6;1,08372206971957e+02;1,76116086525364e+02
0,20;0,99;0,50;0,6;8,35547117080111e+01;1,35785080399606e+02
0,49;0,99;0,50;0,6;4,60328958204544e+01;7,48082344159151e+01
0,01;0,51;0,70;0,6;1,73849727775421e+02;2,57669022921132e+02
0,05;0,51;0,70;0,6;8,76813926096891e+01;1,29955790274737e+02
0,10;0,51;0,70;0,6;5,36801481801075e+01;7,95613056679482e+01
0,20;0,51;0,70;0,6;2,36179664553978e+01;3,50050495782645e+01
0,49;0,51;0,70;0,6;NA;NA
0,01;0,80;0,70;0,6;3,15556160999478e+02;4,67697296521015e+02
0,05;0,80;0,70;0,6;1,94394034515682e+02;2,88118489320028e+02
0,10;0,80;0,70;0,6;1,41737729421109e+02;2,10074658835101e+02
0,20;0,80;0,70;0,6;8,90857308384359e+01;1,32037211188547e+02
0,49;0,80;0,70;0,6;2,36179664553978e+01;3,50050495782645e+01
0,01;0,90;0,70;0,6;4,09282934403720e+02;6,06613166184146e+02
0,05;0,90;0,70;0,6;2,69267355723114e+02;3,99090969779136e+02
0,10;0,90;0,70;0,6;2,06560345025390e+02;3,06150621907784e+02
0,20;0,90;0,70;0,6;1,41737729421109e+02;2,10074658835101e+02
0,49;0,90;0,70;0,6;5,36801481801075e+01;7,95613056679482e+01
0,01;0,99;0,70;0,6;6,80650386786254e+02;1,00881676582585e+03
0,05;0,99;0,70;0,6;4,95859497502824e+02;7,34931448341214e+02
0,10;0,99;0,70;0,6;4,09282934403720e+02;6,06613166184146e+02
0,20;0,99;0,70;0,6;3,15556160999478e+02;4,67697296521015e+02
0,49;0,99;0,70;0,6;1,73849727775421e+02;2,57669022921132e+02
0,01;0,51;0,90;0,6;1,99233994937526e+03;2,76805454468379e+03
0,05;0,51;0,90;0,6;1,00483988987780e+03;1,39607280611323e+03
0,10;0,51;0,90;0,6;6,15181312482517e+02;8,54701241299575e+02
0,20;0,51;0,90;0,6;2,70664893722925e+02;3,76047867428964e+02
0,49;0,51;0,90;0,6;9,05805700913422e-01;1,25847980300757e+00
0,01;0,80;0,90;0,6;3,61631366281401e+03;5,02432000748331e+03
0,05;0,80;0,90;0,6;2,22778031258201e+03;3,09516326304323e+03
0,10;0,80;0,90;0,6;1,62433237182980e+03;2,25676376430156e+03
0,20;0,80;0,90;0,6;1,02093378425066e+03;1,41843283431746e+03
0,49;0,80;0,90;0,6;2,70664893722925e+02;3,76047867428964e+02
0,01;0,90;0,90;0,6;4,69043438401834e+03;6,51664803353177e+03
0,05;0,90;0,90;0,6;3,08583807829031e+03;4,28730454330759e+03
0,10;0,90;0,90;0,6;2,36720777545563e+03;3,28887660116209e+03
0,20;0,90;0,90;0,6;1,62433237182980e+03;2,25676376430156e+03
0,49;0,90;0,90;0,6;6,15181312482517e+02;8,54701241299575e+02
0,01;0,99;0,90;0,6;7,80033983661894e+03;1,08373905475326e+04
0,05;0,99;0,90;0,6;5,68261278745408e+03;7,89512962229305e+03
0,10;0,99;0,90;0,6;4,69043438401834e+03;6,51664803353177e+03
0,20;0,99;0,90;0,6;3,61631366281401e+03;5,02432000748331e+03
0,49;0,99;0,90;0,6;1,99233994937526e+03;2,76805454468379e+03
0,01;0,51;0,99;0,6;2,18956614053887e+05;2,97352735446935e+05
0,05;0,51;0,99;0,6;1,10431123977068e+05;1,49970335150411e+05
0,10;0,51;0,99;0,6;6,76079487602681e+04;9,18145751782331e+04
0,20;0,51;0,99;0,6;2,97458617398150e+04;4,03961917057391e+04
