Sr. No.,ID,Design Type,No. of Looks,Test Type,Specified α,Attained α,Power,nt/nc,Spacing of Looks,Efficacy Boundary,Futility Boundary,Sample Size,Expected SS (H0),Expected SS (H1),πc,Prop. Treatment (Alt.),Variance
116,Des116,Superiority,4,1-Sided,0.1,0.0739480285510983,0.510459071428859,1,Equal,LD (OF),LD (OF) (NB),52,23.9916195539452,32.3975239971627,0.8,0.95,Pooled Estimate
117,Des117,Superiority,4,1-Sided,0.245,0.198792703036212,0.519189039221545,1,Equal,LD (OF),LD (OF) (NB),27,13.9661221928941,15.6565807007072,0.1,0.25,Pooled Estimate
118,Des118,Superiority,4,1-Sided,0.245,0.198697281097817,0.514941561462556,1,Equal,LD (OF),LD (OF) (NB),43,22.2157555636495,24.82818695507,0.3,0.45,Pooled Estimate
119,Des119,Superiority,4,1-Sided,0.245,0.197983895757464,0.510234257860163,1,Equal,LD (OF),LD (OF) (NB),44,22.6336548753112,25.3405976734418,0.5,0.65,Pooled Estimate
120,Des120,Superiority,4,1-Sided,0.245,0.197281725556705,0.512770742423698,1,Equal,LD (OF),LD (OF) (NB),20,10.2486847442873,11.571072838294,0.8,0.95,Pooled Estimate
121,Des121,Superiority,4,1-Sided,0.005,0.00412590801350086,0.801382694981338,1,Equal,LD (OF),LD (OF) (NB),329,152.615692027534,260.021304195905,0.1,0.25,Pooled Estimate
122,Des122,Superiority,4,1-Sided,0.005,0.00413361043812807,0.80017913079577,1,Equal,LD (OF),LD (OF) (NB),535,248.280207866477,422.209002458722,0.3,0.45,Pooled Estimate
123,Des123,Superiority,4,1-Sided,0.005,0.00413179025540041,0.800061298233353,1,Equal,LD (OF),LD (OF) (NB),558,258.747236666527,440.373750864838,0.5,0.65,Pooled Estimate
124,Des124,Superiority,4,1-Sided,0.005,0.00411672025897775,0.80050139264006,1,Equal,LD (OF),LD (OF) (NB),248,114.365513795921,196.333021066682,0.8,0.95,Pooled Estimate
125,Des125,Superiority,4,1-Sided,0.025,0.0213330443019934,0.802224436573813,1,Equal,LD (OF),LD (OF) (NB),227,119.745303827166,170.32358340112,0.1,0.25,Pooled Estimate
126,Des126,Superiority,4,1-Sided,0.025,0.0213462062524318,0.800531380146022,1,Equal,LD (OF),LD (OF) (NB),369,195.179343558896,276.50201700461,0.3,0.45,Pooled Estimate
127,Des127,Superiority,4,1-Sided,0.025,0.0213518102730056,0.800718154032932,1,Equal,LD (OF),LD (OF) (NB),385,203.718134321754,288.463729083845,0.5,0.65,Pooled Estimate
128,Des128,Superiority,4,1-Sided,0.025,0.0212844151146555,0.801322253067504,1,Equal,LD (OF),LD (OF) (NB),171,89.8619732308257,128.460522081977,0.8,0.95,Pooled Estimate
129,Des129,Superiority,4,1-Sided,0.05,0.0434097724073485,0.801793655959566,1,Equal,LD (OF),LD (OF) (NB),182,102.420429122583,132.185040229265,0.1,0.25,Pooled Estimate
130,Des130,Superiority,4,1-Sided,0.05,0.0434996460244365,0.800800318746398,1,Equal,LD (OF),LD (OF) (NB),296,167.173223900483,214.65818216623,0.3,0.45,Pooled Estimate
131,Des131,Superiority,4,1-Sided,0.05,0.0435037362637036,0.801082355706396,1,Equal,LD (OF),LD (OF) (NB),309,174.755734976448,224.005270854029,0.5,0.65,Pooled Estimate
132,Des132,Superiority,4,1-Sided,0.05,0.0433188091687427,0.800791012799462,1,Equal,LD (OF),LD (OF) (NB),137,77.0804302763044,99.6087113978401,0.8,0.95,Pooled Estimate
133,Des133,Superiority,4,1-Sided,0.1,0.0888052883999676,0.801242373779759,1,Equal,LD (OF),LD (OF) (NB),136,82.0647751947964,94.3722398254673,0.1,0.25,Pooled Estimate
134,Des134,Superiority,4,1-Sided,0.1,0.0889370670042718,0.801204902519893,1,Equal,LD (OF),LD (OF) (NB),222,134.248083787161,153.729135783014,0.3,0.45,Pooled Estimate
135,Des135,Superiority,4,1-Sided,0.1,0.0889636348771339,0.800534733105694,1,Equal,LD (OF),LD (OF) (NB),231,139.703570913676,159.916105009243,0.5,0.65,Pooled Estimate
136,Des136,Superiority,4,1-Sided,0.1,0.0887563874754042,0.802788869652997,1,Equal,LD (OF),LD (OF) (NB),103,62.0321646904652,71.4866893285242,0.8,0.95,Pooled Estimate
137,Des137,Superiority,4,1-Sided,0.245,0.225922724885547,0.802865926209874,1,Equal,LD (OF),LD (OF) (NB),76,48.9499508872511,47.5871753115035,0.1,0.25,Pooled Estimate
138,Des138,Superiority,4,1-Sided,0.245,0.226116341900617,0.800535762931037,1,Equal,LD (OF),LD (OF) (NB),123,79.2507669944298,76.8570068998385,0.3,0.45,Pooled Estimate
139,Des139,Superiority,4,1-Sided,0.245,0.226179178098161,0.801882208031087,1,Equal,LD (OF),LD (OF) (NB),129,83.3446734131741,80.711186022824,0.5,0.65,Pooled Estimate
140,Des140,Superiority,4,1-Sided,0.245,0.22542481754961,0.801243813608905,1,Equal,LD (OF),LD (OF) (NB),57,36.6581449932573,35.850293067818,0.8,0.95,Pooled Estimate
141,Des141,Superiority,4,1-Sided,0.005,0.00443927645830289,0.900769385127853,1,Equal,LD (OF),LD (OF) (NB),402,211.36057186501,313.231301517836,0.1,0.25,Pooled Estimate
